"population","hap","count","freq"
"Han_noNWC","O2a",2534,0.530680628272251
"Han_NWCM","O2a",5573,0.511143721911401
"ANEA","O2a",159,0.398496240601504
"AESP","R1a",113,0.396491228070175
"ASEA","C2b",46,0.304635761589404
"ANWC","R1a",39,0.284671532846715
"ASEA","O2a",38,0.251655629139073
"AEES","C2a",36,0.215568862275449
"ANWC","R1b",29,0.211678832116788
"AESP","N1a",60,0.210526315789474
"ASEA","O1b",28,0.185430463576159
"ANEA","N1b",68,0.170426065162907
"AEES","R1a",27,0.161676646706587
"ASAF","R2a",16,0.137931034482759
"AEES","N1a",22,0.131736526946108
"ASAF","L1a",15,0.129310344827586
"Han_noNWC","O1a",611,0.127958115183246
"ASAF","J2a",14,0.120689655172414
"AEES","Q1b",19,0.11377245508982
"ANWC","Q1b",15,0.109489051094891
"Han_noNWC","O1b",486,0.101780104712042
"AESP","R1b",28,0.0982456140350877
"ANEA","D1a",38,0.0952380952380952
"ANEA","C2b",37,0.0927318295739348
"Han_NWCM","C2b",968,0.0887829037879483
"Han_noNWC","C2b",418,0.0875392670157068
"ASAF","E1b",10,0.0862068965517241
"AEES","R1b",14,0.0838323353293413
"Han_NWCM","O1b",910,0.0834632669907365
"ANWC","O2a",11,0.0802919708029197
"ASAF","R1a",9,0.0775862068965517
"ASEA","O1a",11,0.0728476821192053
"AEES","Q1a",12,0.0718562874251497
"ASAF","H1a",8,0.0689655172413793
"Han_NWCM","O1a",592,0.0542969824818857
"Han_NWCM","D1a",525,0.048151884802348
"ANEA","O1b",19,0.0476190476190476
"ASEA","C1b",7,0.0463576158940397
"AESP","Q1b",13,0.0456140350877193
"ANWC","N1b",6,0.0437956204379562
"ASAF","J2b",5,0.0431034482758621
"ASAF","No",5,0.0431034482758621
"ANEA","N1a",17,0.0426065162907268
"AEES","O2a",7,0.0419161676646707
"ASEA","D1a",6,0.0397350993377483
"Han_NWCM","Q1a",428,0.0392552508483903
"Han_NWCM","N1a",427,0.0391635329725764
"AESP","J2a",11,0.0385964912280702
"Han_NWCM","N1b",417,0.0382463542144364
"ANWC","Q2a",5,0.0364963503649635
"Han_noNWC","N1b",172,0.036020942408377
"ANEA","O1a",14,0.0350877192982456
"ASEA","N1b",5,0.033112582781457
"AEES","J1a",5,0.029940119760479
"AEES","J2a",5,0.029940119760479
"ANWC","C2a",4,0.0291970802919708
"ANWC","J2a",4,0.0291970802919708
"ANWC","R1",4,0.0291970802919708
"Han_noNWC","Q1a",127,0.0265968586387435
"Han_noNWC","N1a",124,0.0259685863874346
"ASAF","J1b",3,0.0258620689655172
"ASAF","Q2b",3,0.0258620689655172
"ASAF","R2b",3,0.0258620689655172
"ASAF","T1a",3,0.0258620689655172
"ANEA","Q1a",10,0.025062656641604
"AESP","J1a",7,0.0245614035087719
"Han_NWCM","R1a",264,0.024213519214895
"Han_NWCM","C2a",254,0.023296340456755
"ANWC","D1a",3,0.0218978102189781
"ANWC","N2",3,0.0218978102189781
"AESP","R2a",6,0.0210526315789474
"ASEA","C",3,0.0198675496688742
"AEES","D1a",3,0.0179640718562874
"AEES","N2",3,0.0179640718562874
"AESP","E1b",5,0.0175438596491228
"ANEA","K2b",7,0.0175438596491228
"ASAF","G2a",2,0.0172413793103448
"ASAF","I2a",2,0.0172413793103448
"ASAF","J",2,0.0172413793103448
"ASAF","O1a",2,0.0172413793103448
"ASAF","O1b",2,0.0172413793103448
"ASAF","R1b",2,0.0172413793103448
"ANEA","F",6,0.0150375939849624
"ANWC","J1a",2,0.0145985401459854
"ANWC","L1a",2,0.0145985401459854
"AESP","I2a",4,0.0140350877192982
"AESP","K2b",4,0.0140350877192982
"AESP","No",4,0.0140350877192982
"ASEA","F",2,0.0132450331125828
"Han_noNWC","D1a",63,0.0131937172774869
"AEES","N",2,0.0119760479041916
"AEES","N1b",2,0.0119760479041916
"AEES","O1a",2,0.0119760479041916
"Han_noNWC","O2b",54,0.0113089005235602
"AESP","C2a",3,0.0105263157894737
"AESP","G2a",3,0.0105263157894737
"AESP","Q1a",3,0.0105263157894737
"AESP","R2",3,0.0105263157894737
"ANEA","C2",4,0.0100250626566416
"ANEA","N1",4,0.0100250626566416
"Han_NWCM","O2b",109,0.00999724846372558
"Han_noNWC","C2a",47,0.00984293193717277
"ASAF","C1b",1,0.00862068965517241
"ASAF","D1a",1,0.00862068965517241
"ASAF","F",1,0.00862068965517241
"ASAF","H3b",1,0.00862068965517241
"ASAF","J1a",1,0.00862068965517241
"ASAF","K2b",1,0.00862068965517241
"ASAF","L1",1,0.00862068965517241
"ASAF","Q1a",1,0.00862068965517241
"ASAF","Q2a",1,0.00862068965517241
"ASAF","R1",1,0.00862068965517241
"Han_noNWC","R1a",37,0.00774869109947644
"ANWC","C2",1,0.0072992700729927
"ANWC","E1b",1,0.0072992700729927
"ANWC","G2a",1,0.0072992700729927
"ANWC","I2a",1,0.0072992700729927
"ANWC","J2b",1,0.0072992700729927
"ANWC","N",1,0.0072992700729927
"ANWC","N1",1,0.0072992700729927
"ANWC","N1a",1,0.0072992700729927
"ANWC","Q1",1,0.0072992700729927
"ANWC","Q1a",1,0.0072992700729927
"AESP","L1a",2,0.00701754385964912
"AESP","R1",2,0.00701754385964912
"ASEA","D1",1,0.00662251655629139
"ASEA","K2a",1,0.00662251655629139
"ASEA","N1a",1,0.00662251655629139
"ASEA","No1",1,0.00662251655629139
"ASEA","R1b",1,0.00662251655629139
"Han_NWCM","R1b",69,0.00632853343116573
"AEES","C",1,0.00598802395209581
"AEES","C2b",1,0.00598802395209581
"AEES","E1b",1,0.00598802395209581
"AEES","F",1,0.00598802395209581
"AEES","N2a",1,0.00598802395209581
"AEES","No1",1,0.00598802395209581
"AEES","Q1",1,0.00598802395209581
"AEES","R1",1,0.00598802395209581
"Han_NWCM","J2a",57,0.00522791892139778
"ANEA","D1",2,0.0050125313283208
"ANEA","J2b",2,0.0050125313283208
"ANEA","No1",2,0.0050125313283208
"ANEA","O2",2,0.0050125313283208
"ANEA","R1a",2,0.0050125313283208
"Han_NWCM","J",51,0.0046776116665138
"Han_NWCM","Q1b",48,0.00440245803907181
"AESP","C",1,0.00350877192982456
"AESP","C2b",1,0.00350877192982456
"AESP","D1a",1,0.00350877192982456
"AESP","G2",1,0.00350877192982456
"AESP","H",1,0.00350877192982456
"AESP","H1a",1,0.00350877192982456
"AESP","J",1,0.00350877192982456
"AESP","J2b",1,0.00350877192982456
"AESP","N2a",1,0.00350877192982456
"AESP","No1",1,0.00350877192982456
"AESP","O1b",1,0.00350877192982456
"AESP","Q",1,0.00350877192982456
"AESP","R",1,0.00350877192982456
"AESP","T1",1,0.00350877192982456
"Han_noNWC","R1b",16,0.00335078534031414
"Han_NWCM","E1b",33,0.00302668990186187
"Han_noNWC","J2a",14,0.00293193717277487
"Han_NWCM","O2",31,0.00284325415023388
"ANEA","C",1,0.0025062656641604
"ANEA","C2a",1,0.0025062656641604
"ANEA","G2a",1,0.0025062656641604
"ANEA","N",1,0.0025062656641604
"ANEA","O1",1,0.0025062656641604
"ANEA","R1b",1,0.0025062656641604
"Han_noNWC","T",11,0.00230366492146597
"Han_NWCM","R2a",24,0.00220122901953591
"Han_noNWC","G2a",9,0.0018848167539267
"Han_noNWC","C2",8,0.00167539267015707
"Han_NWCM","C1b",16,0.00146748601302394
"Han_NWCM","G2a",16,0.00146748601302394
"Han_NWCM","J1a",15,0.00137576813720994
"Han_NWCM","L1a",15,0.00137576813720994
"Han_NWCM","J2b",11,0.00100889663395396
"Han_noNWC","C1b",4,0.000837696335078534
"Han_noNWC","E1b",4,0.000837696335078534
"Han_noNWC","F",4,0.000837696335078534
"Han_noNWC","O1",4,0.000837696335078534
"Han_NWCM","J2",9,0.000825460882325965
"Han_NWCM","R2",7,0.000642025130697973
"Han_noNWC","C1a",3,0.0006282722513089
"Han_noNWC","J",3,0.0006282722513089
"Han_noNWC","J2b",3,0.0006282722513089
"Han_noNWC","Q1b",3,0.0006282722513089
"Han_noNWC","R2a",3,0.0006282722513089
"Han_noNWC","G1",2,0.000418848167539267
"Han_noNWC","O2",2,0.000418848167539267
"Han_NWCM","H1a",4,0.000366871503255985
"Han_NWCM","J1",4,0.000366871503255985
"Han_NWCM","Q2a",4,0.000366871503255985
"Han_NWCM","T1a",4,0.000366871503255985
"Han_NWCM","I2a",3,0.000275153627441988
"Han_NWCM","L1",3,0.000275153627441988
"Han_noNWC","H",1,0.000209424083769634
"Han_noNWC","I1",1,0.000209424083769634
"Han_noNWC","I2",1,0.000209424083769634
"Han_noNWC","L1a",1,0.000209424083769634
"Han_noNWC","N",1,0.000209424083769634
"Han_noNWC","O",1,0.000209424083769634
"Han_noNWC","Q2",1,0.000209424083769634
"Han_noNWC","Q2a",1,0.000209424083769634
"Han_noNWC","R",1,0.000209424083769634
"Han_NWCM","G1a",2,0.000183435751627992
"Han_NWCM","I1",2,0.000183435751627992
"Han_NWCM","O1",2,0.000183435751627992
"Han_NWCM","Q2b",2,0.000183435751627992
"Han_NWCM","F2",1,9.17178758139961e-05
"Han_NWCM","G1",1,9.17178758139961e-05
"Han_NWCM","G2b",1,9.17178758139961e-05
"Han_NWCM","N2",1,9.17178758139961e-05
